# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu/cycles/P'
# Event count (approx.): 6035319100
#
# Overhead  Command  Shared Object     Symbol                                     
# ........  .......  ................  ...........................................
#
     0.02%  app      [unknown]         [k] 0xffffffffa25af923
     0.02%  app      [unknown]         [k] 0xffffffffa29feb19
     0.02%  app      [unknown]         [k] 0xffffffffa278f746
     0.02%  app      [unknown]         [k] 0xffffffffa29622a7
     0.02%  app      [unknown]         [k] 0xffffffffa39360c0
     0.02%  app      [unknown]         [k] 0xffffffffa2616141
     0.02%  app      [unknown]         [k] 0xffffffffa2a34433
     0.02%  app      [unknown]         [k] 0xffffffffa29f49ac
     0.02%  app      [unknown]         [k] 0xffffffffa29c5fec
     0.02%  app      [unknown]         [k] 0xffffffffa26ab385
     0.02%  app      [unknown]         [k] 0xffffffffa26a5250
     0.02%  app      [unknown]         [k] 0xffffffffa2ab71b9
     0.02%  app      [unknown]         [k] 0xffffffffa2998886
     0.02%  app      [unknown]         [k] 0xffffffffa39222f9
     0.02%  app      [unknown]         [k] 0xffffffffa278f7cd
     0.02%  app      [unknown]         [k] 0xffffffffa278f8a5
     0.02%  app      [unknown]         [k] 0xffffffffa2abb815
     0.02%  app      [unknown]         [k] 0xffffffffa261732a
     0.02%  app      [unknown]         [k] 0xffffffffc0c2b7cc
     0.02%  app      [unknown]         [k] 0xffffffffa29fce35
     0.02%  app      [unknown]         [k] 0xffffffffa2775a15
     0.02%  app      [unknown]         [k] 0xffffffffa275f73d
     0.02%  app      [unknown]         [k] 0xffffffffa29ee8e3
     0.02%  app      [unknown]         [k] 0xffffffffa2201266
     0.02%  app      [unknown]         [k] 0xffffffffa29eba44
     0.02%  app      [unknown]         [k] 0xffffffffa29c5fbb
     0.02%  app      [unknown]         [k] 0xffffffffa38ebded
     0.01%  app      [unknown]         [k] 0xffffffffa26b8549
     0.01%  app      [unknown]         [k] 0xffffffffa2e543c1
     0.01%  app      [unknown]         [k] 0xffffffffa2a15556
     0.01%  app      [unknown]         [k] 0xffffffffa2abb816
     0.01%  app      [unknown]         [k] 0xffffffffa27892f0
     0.01%  app      [unknown]         [k] 0xffffffffa2a35366
     0.01%  app      [unknown]         [k] 0xffffffffa391f060
     0.01%  app      [unknown]         [k] 0xffffffffa2775936
     0.01%  app      [unknown]         [k] 0xffffffffa27be445
     0.01%  app      [unknown]         [k] 0xffffffffc1a2ad20
     0.01%  app      [unknown]         [k] 0xffffffffa2744ec4
     0.01%  app      [unknown]         [k] 0xffffffffa2997ced
     0.01%  app      [unknown]         [k] 0xffffffffa25af920
     0.01%  app      [unknown]         [k] 0xffffffffa2779a31
     0.01%  app      [unknown]         [k] 0xffffffffa2abb8d8
     0.01%  app      [unknown]         [k] 0xffffffffa2985964
     0.01%  app      [unknown]         [k] 0xffffffffa38ebc27
     0.01%  app      [unknown]         [k] 0xffffffffa2a26675
     0.01%  app      [unknown]         [k] 0xffffffffa2abdb85
     0.00%  app      [unknown]         [k] 0xffffffffa2a27608
     0.00%  app      [unknown]         [k] 0xffffffffa2956966
     0.00%  perf-ex  [unknown]         [k] 0xffffffffa391f17a
     0.00%  perf-ex  [unknown]         [k] 0xffffffffa2962240
     0.00%  perf-ex  [unknown]         [k] 0xffffffffa296227c
     0.00%  perf-ex  [unknown]         [k] 0xffffffffa39369a0


#
# (Cannot load tips.txt file, please install perf!)
#
